ايالاتمتحده :  ايالات متحده  
جوانيكهبرايكوهنورديعازمارتفاعاتدربندشدهبودبراثرسقوطازكوهكشتهشد :  خطا 
باموفقارزيابيكردنعملكردوفعاليتهايستادمبارزهباموادمخدراظهارداشت :  خطا 
كمبوداسكناسهايدويسترياليازجملهمشكلاتاساسيدردادوستدهايروزمرهاست :  خطا 
بابهرهبرداريازاينكارخانهكهاولينواحدتوليدكنندهاليافصنعتيكشوراست :  خطا 
توصيههايسادهبرايلذتبردناززندگيهرچندازامكاناتموجودبيشترلذتببريم :  خطا 
پيروزيوپاسبهدليلداشتنبازيكنانمليپوشباعثكندشدنرونداينرقابتهاشدند :  خطا 
تيمورغياثيبهعنوانسرمربيتيمدووميدانيجوانانايراندركليهموادمنصوبشد :  خطا 
مطابقمعمولوحداكثرجزبهرويهكاريوانجامپارهايكارهاينمايشيدستنميزدند :  خطا 
چنانچهتعدادپزشكانشاغلدرواحدهايملكيوپزشكانيكهدرشبكهبهداشتيدرماني :  خطا 
اتحاديهسرمايهگذارياسكانزنجانبادريافتميليونهاتومانازمتقاضيانمسكن :  خطا 
بهگزارشخبرگزاريجمهورياسلاميازدوشنبهامامعليرحمانفروزشنبهاعلامكرد :  خطا 
بيشترينافزايشقيمتديروزدربورستهرانمربوطبهشركتسرمايهگذاريالبرزبود :  خطا 
شهركصنعتيكاوهبهدليلكمعرضبودنبهگذرگاهحوادثخونينرانندگيتبديلشدهاست :  خطا 
كرباسچيدرپاسخبهاينپرسشكهچرابهفكرانتشارروزنامهبراينوجوانانافتاديد :  خطا 
انفجارعربستانهمچنينباعثشدهاستتاقيمتدلاردرمقابلينژاپنبشدتبالابرود :  انفجار عربستان همچنين باعثش دها ست تاقيمت دلاردر مقابلي ن ژا پبش دت بالابرود  
مسابقاتدوچرخهسواريقهرمانيايراندرردهبزرگسالانوجواناندررشتهاستقامت :  مسابقات دوچرخه سواري قهرماني ايراند رر دهب زرگ سالان وجوانان دشتها ست قامت  
شيمونپرزرهبرحزبكارگرونخستوزيرپيشينرژيمصهيونيستيديروزدرمصاحبهايگفت :  خطا 
ميوههابهرنگقهوهايبراقدرونغلافهايكرويخاردارتشكيلميشوندوخوراكيهستند :  خطا 
نارنجيدرفصلتابستانكهبصورتگلبريدهوياگلباغچهايمورداستفادهقرارميگيرد :  خطا 
مراسمسرشارازاحساساتبازنشستگياسقفاعظمدركليسايجامعسنجورجبرگزارگرديد :  خطا 
مشاهدهماردردوخانهمسكونيدرنقاطمختلفتهرانموجبترسووحشتساكنانخانههاشد :  خطا 
ازراديوشنيدمكهتوتفرنگيوتمشكاسهالناشيازپارازيتسيكلاسپوراتوليدميكند :  خطا 
گزارشميافزايدمذاكراتدوطرفتاتهيهپيشنويسنهاييپيمانصلحادامهخواهديافت :  خطا 
حمايتازمنافعمردمورعايتحقوقجامعهيكاصلمسلمدرنظاممردميجمهورياسلامياست :  خطا 
اينخبررامهندسمصطفيصباغتركانمديركلبرقوانرژيوزارتجهادسازندگياعلامكرد :  خطا 
پيروزيقهرمانفصلپيشدرروزيكههنوزبايارانجديدخودبههماهنگيكاملنرسيدهاست :  خطا 
نيمنگاهيهمبهتختهسياههايمدارسكههنوزمهمترينبخشازرسانههاييادگيريهستند :  خطا 
حسينمحمدارشادكهخبرگزاريفرانسهويراديكتاتورنظاميسابقبنگلادشخواندهاست :  خطا 
كانونادبيفرهنگسرايانديشهمسابقهايرادربارهموضوعگلدرادبياتبرگزارميكند :  خطا 
اينتقسيمبنديدرموردهنربهرنيزمصداقداردبهاينمعنيكهافرادهنربهردوگروهند :  خطا 
سرانجامپريروزهدفگلولهقانونشكنانقرارگرفتكهويراخاريبرسرراهخودميديدند :  خطا 
چهارهنديكهمجازاتتعيينشدهازطرفدادگاهرادرمورديكمردديگركافينميدانستند :  خطا 
ازدستاندركاراناينكشورخواستكهدرگسترشبرنامهاصلاحاتاحتياطراازدستندهند :  خطا 
ايجادبزرگراههاياطلاعاتيوايجادمركزنجاتبرايكمكرسانيبهكشورهاياسلاميبود :  خطا 
تلاشهايايرانبرايگسترشهمكاريهايمنطقهايباهدفتقويتصلحدرمنطقهصورتميگيرد :  خطا 
ديروزموردبازديدسردارسرتيپشمشيريمعاونهماهنگكنندهنيرويانتظاميقرارگرفت :  خطا 
زمانپخشاينفيلمهادوشنبهوپنجشنبههرهفتهوهمزمانباتاريكشدنهوااعلامشدهاست :  خطا 
بهگزارشفدراسيونورزشهايجانبازانومعلوليندرايندورهازرقابتهاتيمهايكرمان :  خطا 
درپيبرخورديكاتوبوسمسافربربايككاميونپاركشدهدرجادهايدرغربكشورزيمبابوه :  خطا 
كارپفكهدراينبازيبامهرههايسفيدبازيميكرددرحركتچهلويكمبرحريفخودغلبهكرد :  خطا 
اينگزارشضمنبياننگرانيهايكشورهايجهانسومدرمورددسترسيهميشگيبهموادغذايي :  خطا 
يكاسكناسهزاردلاريدوراناستعمارانگليسبرسنگاپوركهدراينمستعمرهبسياركوچك :  خطا 
بنابرايندرسياستهايپوليخودتنهامنافعكشوررادرنظرميگيردنهخواستهايدولترا :  خطا 
نمايشنمثلنظمويژهكودكانونوجوانانازپنجممرداددرفرهنگسرايبهمناجراخواهدشد :  خطا 
كارشناسانبهزيستيشرايطبهداشتدرشهرهايبسياربزرگراموردتوجهجديقراردادهاند :  خطا 
مقاماتبحرينتمايلبهزدودنموانعموجوددرروابطخويشباجمهورياسلاميايراندارند :  مقامات بحرين تمايل به زدودن موانع موجوددر روابطخويش باجمهوري اسلامي ايراندا رند  
مجمععموميعاديسالانهشركتداملرانروزيكشنبهبرگزارشدوپسازتصويبصورتهايمالي :  خطا 
سپاهپاسدارانانقلاباسلاميازعمومامتعزاداربرايشركتدراينمراسمدعوتكردهاست :  خطا 
كليهكسانيكهسلاحهايغيرمجازدارندبدونهيچگونهنگرانيسلاحهايخودراتحويلدهند :  خطا 
بهگزارشخبرنگارمادراينمراسمكهتوسطشورايگسترشزبانوادبياتفارسيبرپاشدهبود :  خطا 
ليپنگنخستوزيرووچيخاوتيانوزيردفاعچيننيزدرزمينهتوسعهروابطدوكشورگفتگوكرد :  خطا 
تيمفوتبالنوجوانانايرانجهتانجامدوديداردوستانهديروزظهرعازمدوحهمركزقطرشد :  خطا 
بكارگيريسيستمكامپيوتريشناساييخودروهايمسروقهدرمحوركندوانسرويسشهرستانها :  خطا 
بااينحالكارتونگوژپشتنتردامدرهفتهاولنمايشبيشازسيميليوندلارفروشداشتهاست :  خطا 
درادامهاينرقابتهاامروزتايلندبهديداربرمهميرودومالديوباسنگاپوربازيميكند :  خطا 
حضورطولانيوگستردههزارانكارگروجويندهكارباهياتيناموزوندرحاليكهبيليبردوش :  خطا 
ايرانخواستارعذرخواهيرسميدولتتركيهوپرداختخسارتبهبازماندگانشدسرويسسياسي :  خطا 
نگاهيبهتحولاتشهرسازيمعاصرجنبشپيادهگسترينهتنهاسيمايكالبديشهرهاراعوضكرده :  خطا 
مهندسمحسنطارميانمديرعاملسازمانخدماتموتوريشهرداريتهرانهمچنينخاطرنشانكرد :  خطا 
كارگاهمشورتيبررسيسلامتدختراننوجوانوجوانديروزباسخناندكترمرنديوزيربهداشت :  خطا 
ازكنترلخروجيسوپرماركتهاتامصارفتكنولوژيبالايپزشكيازمواردايناستفادههااست :  خطا 
فرهنگسرايخاورانبهمناسبتسالروزاربعينحسينيهمايشادبيقافلهعشقرابرگزارميكند :  خطا 
نهتنهادرجهتدستيابيبهاهدافعلميورفعنيازهايجامعهموردبهرهبرداريقرارنميگيرد :  نه تادرجهت دستيابي بها هداف علمي ورفع نيازهاي جامعه موردبهره برداري قرارنمي گيرد  
كميسيونمبارزهباموادمخدرخواستارتشديدمجازاتقاچاقچيانموادمخدرشدسرويسسياسي :  خطا 
اينفيلمبهكارگردانيشهراماسديموفقبهكسبمقامبرتردرسيزدهمينجشنوارهفجرشدهاست :  خطا 
بهگزارشواحدمركزيخبرازباكودراينديداردرموردسفرقريبالوقوعشهردارباكوبهتهران :  خطا 
تمرينديروزپيروزيباحضوراستانكوانجامگرفتودراينتمرينكماكانفرشادپيوسغايببود :  خطا 
زيوگانوفكهچونبسياريازكمونيستهايارتدوكسديگرازگورباچفوحزباوقطعاميدكردهبود :  خطا 
ديداررفتفينالجامحذفيبينتيمهاياستقلالوبرقدرورزشگاهشهدايارتششيرازبرگزارشد :  ديداررفت فينال جام حذفي بينتي مهايا ستقلال وبرق درورزشگاه شهداي ارتشش يرا زبر گزارش د  
جمهوريمغولستانتصميمگرفتهاستكهاينكشورزادگاهچنگيزخانراكهدرنيمهاولاينهزاره :  خطا 
اعزامهياتكارشناسيازسويدولتتركيهبرايبررسيحادثهحملههوايياينكشوربهخاكايران :  خطا 
هاشمزادههريسينمايندهتبريزبهعنواننمايندهمجلسدرهياتنظارتبرمطبوعاتانتخابشد :  هاشم زاده هريسي نماينده تبريزبه عنوانم جل سدره ياتن ظارت برمطبوعات انتخابشد  
ارتباطاقتصاديباايرانيكراهدوطرفهاستونميتواندتنهامنحصربهفروشكالاوخدماتباشد :  خطا 
علاقهمندانبراياستفادهازاينبرنامههاميتوانندبهفرهنگسرايخاوراندرميدانخراسان :  علاقهمندان برايا ستفاده ازاين برنامه هامي توانندبه فرهنگسراي خاوران درميدان خراسان  
امرتلقيندركشورهايدموكراتيكبراينپايهاستكهرسانههاونخبگانروشنفكربنابهميلخود :  خطا 
اوليننشستكميتهمربياننخستينجلسهكميتهمربيانواليبالدرفدراسيونواليبالتشكيلشد :  خطا 
دربيانيهپايانيكنفرانسسهروزهبينالملليمحيطزيستكهدرشهراستانبولتركيهبرگزارشد :  خطا 
فوتبالمحلاتشهرداريتهرانباانجامدوبازيباقيماندهوپيروزيتيمهاينصرتويادمجيديه :  فوتبالم حلا تش هردار يته ران باانجام دوبازي باقيمانده وپيروزي تيمهاي نصرت ويادم جيدي ه  
ازسويديگرپيروزيهمبرايعقبنماندنازصدرنشينهايجدولچشمبههرسهامتيازاينديداردارد :  ازسوي ديگر پيروزي همبر ايع قب نماندن ازصدر نشينهاي جدول چشم بهه رسه امتيازاين ديداردارد  
خدماتيوفرهنگيتاپايانسالجاريدرشمالتهرانتوسطشهرداريمنطقهيكبهبهرهبرداريميرسد :  خطا 
بايدبينبلندمرتبهسازيكهميتواندبادرنظرگرفتنشرايطمقرراتبهانبوهسازيمسكنكمككند :  خطا 
نمايندگاندمكراتوجمهوريخواهازكلينتونخواستهاندتالايحهرابطوركاملبهاجرابگذارد :  خطا 
دربازيافتتاحيهرقابتهايزنانهلندباچينودرمسابقههايمردانتونسباهلندروبروميشوند :  دربازي افتتاحيه رقابتهاي زنانه لند باچين ودر مسابقه هايمر دانتون سبا هرو بروم يش وند  
بهگفتهكارشناسانمنابعطبيعيبرداشتغيرمجازساليانهبيشازيكميليونمترمكعبازجنگلها :  خطا 
تنهاقادربهتامينبيشازنيميازبودجهموردنيازبرايادارهدانشگاههاومدارساينكشوراست :  خطا 
نمايشگاهنقاشيوتنديسهايچوبياثرسرورعبداللهيدرگالريشمارهسهنگارخانهبرگدايراست :  نمايشگاه نقاشي وتنديس هاي چوبي اثر سرور عبداللهي درگالري شماره سه نگارخانه برگدا يرا ست  
ويبااشارهبهاينكهرهبرمعظمانقلاببارهابرتقويتزيرساختهايفرهنگيتاكيدداشتهاندگفت :  خطا 
درپيجلوگيريازنمايندگانشينفينشاخهسياسيارتشجمهوريخواهايرلندشماليدرمذاكراتصلح :  خطا 
كارتنمشهدبااستانداريكرمانفرمانداريفلاورجانباهماتهرانمقاومتاصفهانبافتحتهران :  خطا 
خدمههواپيمابهمردمصريكهدرطولسفرچيزيحتينوشابهنخوردوحالتتهوعداشتورنگشپريدهبود :  خطا 
پطرسغاليپيشازايناعلامكردهبودتصميمداردبرايباردومكانديدايدبيركليسازمانمللشود :  خطا 
رشدجمعيتدرشهرهابهخاطرمهاجرتازمناطقروستاييوهمينطورافزايشطبيعيجمعيتروستايياست :  رشدجمعيت درشهرها بهخ اطر مهاجرت ازمناطق روستايي وهمينطور افزايش طبيعي جمعيت است  
رماننويسمدرنكهخودشاهدازدسترفتنيكپارچگيوصلابتفرهنگيدرچنددههاولقرنحاضربودهاست :  خطا 
مسابقهادبياگريكروزهيچروزنامهايمنتشرنشودتوسطخانهروزنامهنگارانجوانبرگزارميشود :  خطا 
هنوزهمبسياريزنانومردانهستندكهبهمددايماناستوارخوددشواريهاراازپيشپايبرميدارند :  خطا 
اينزنكهرابرتاستارزههيزلنامداردقبلادردادگاهحاضرشدهومراقبتازعمهاشراپذيرفتهبود :  خطا 
بابيانمطالبفوقدرخصوصكاركردهاياجتماعيدينبهعنوانيكواقعيتقابلمشاهدهومطالعهعلمي :  خطا 
گزارشنخستينكنفرانستغييراقليمدربرنامهاينهفتههمايشهايعلميشبكهدومراديوپخشميشود :  خطا 
بهدليلنبودزميناستانداردبرايانجامبازيهايرسميوهمچنيناردوهايدارازمدتبرايتيمملي :  به دليل نبودزمين استانداردبراي انجام بازيهاي رسمي وهمچنين اردوهاي دارازمدت برايت يمم لي  
شهرقوشچيازديربازدارايمردميغيرتمنددرمقابلهباتهاجماتبيگانگانوچپاولگرانبودهاست :  شهر قوشچي ازديرباز داراي مردمي غيرتمنددر مقابله باتهاجم اتب يگان گانو چپاولگران بودهاست  
عمدتاازپرندگانوميمونهاتغذيهميكندامابطوركليهرنوعپستانداركوچكوضعيفراشكارميكند :  خطا 
جلسهنقدوبررسيقصهامروزباحضورچندتنازقصهنويسانوعلاقهمنداندرحوزههنريبرگزارميشود :  جلسه نقدوبررسي قصه امروزبا حضورچندتن ازنو يسان وعلاقه مندان درحوزه هنري برگزارميشود  
دراينديداردكترحسنروحانيخواستارجبرانخسارتهايناشيازحملهچرخبالهايتركيهبهايرانشد :  خطا 
تعداديازاعضاياتحاديهميگويندحقباشهردارياستوحاضرندطبققراردادبهتعهداتخودعملكنند :  خطا 
شركتسهاميصنايعشيرايرانجديدتريننرخهايپنيرداخليووارداتيرابرايمصرفكنندهاعلامكرد :  خطا 
پدربزرگازتمامنيرويشاستفادهميكندتانوهخردسالشاوجبگيردواينبازيحكايتزندگينسلهاست :  خطا 
خبرگزاريفرانسهفاروقالشرعوزيرخارجهسوريهبرايگفتگوبامقاماتعربستانديروزواردرياضشد :  خبرگزاري فرانسه فاروق الشرع وزيرخارجه سوريه براي گفتگوبامقامات عربستان ديروزوارد رياض شد  
كتابخانهونگارخانهاينمركزفرهنگيديدنكردندودرجرياننحوهفعاليتدراينبخشهاقرارگرفتند :  خطا 
معاونتفرهنگيگردانسومعاشورانسپاهناحيهغربتهراناقدامبهبرگزاريشبشعراربعينخواهدكرد :  خطا 
كميتهوزيرانشوراياروپاروزسهشنبهكرواسيرابهطورمشروطبهعنوانچهلمينعضواينشوراپذيرفت :  خطا 
حركتبهسوياروپايمنسجممنجربهتشديدمشكلبيكاريدراروپاشدهاستواحدرسانههايخارجيهمشهري :  خطا 
پيكانوصنامچهارتيميبودندكهباموفقيتگامبهمرحلهنهاييگذاشتهاندوامروزباانجامدوديدار :  خطا 
تيممليفوتبالاندونزيششمينتيميبودكهازطريقمسابقههايفوتبالمقدماتيراهيمرحلهنهاييشد :  خطا 
پيشازاينبارهاعنوانكردهبوديمكهاگررقابتهايباشگاهيبهصورتمنظموباهدفروشنيبرگزارشود :  خطا 
ديروزباخبرشديممحمدحسنگروسيداوربينالملليكشتيبهدليلسكتهقلبيدارفانيراوداعگفتهاست :  خطا 
پيكرمطهردوازدهتنازشهيداندفاعمقدسباحضوراقشارمختلفمردمدرشهرهاياستانمركزيتشييعشد :  خطا 
اينانسانهاهستندكهدرهيبتيحشرهگونهدرتابلوهاينقاشينمايشگرگوشههايياززندگيخودهستند :  خطا 
دكترمرندينيزضمناعلامتمايلجمهورياسلاميايرانبهبسطوگسترشروابطدرتماميزمينههاافزود :  خطا 
بيشكرقابتهايحذفيتهراننخستينميدانارزيابيبرايتيمهاييبودكهدرپايانفصلنقلوانتقالات :  خطا 
گروهطالبانكهدرجنوبوجنوبغربيكابلمستقراستمسبباينحادثهوكشتارمردمبيدفاعمعرفيشدهاست :  خطا 
ستادبرگزاريمراسمهفتمتيرباقدردانيوتجليلازامتهميشهدرصحنهوقهرمانايرانبخاطرفداكاري :  خطا 
مديرعاملسازمانسردخانهوكشتارگاهشهرداريتهراندرگفتوگوباخبرنگارماهمچنينخاطرنشانكرد :  خطا 
ايجادفروشگاهتوسطكارخانههاوعرضهتوليداتازاينطريقميتواندبهتوزيعلوازمخانگيساماندهد :  خطا 
نمودارتشكيلاتسازمانفرهنگوارتباطاتاسلاميتوسطسازماناموراداريواستخداميكشورتصويبشد :  خطا 
شهرداريمنطقهپنجباهمكاريسازمانتبليغاتاسلامياقدامبهنمايشفيلمسينماييرايگانكردهاست :  خطا 
يافوتبالتابعبرنامههايتاكتيكيمربيانشدهاستوبازيكنانبزرگنيزدرحركتهايتركيبيحلشدهاند :  خطا 
سالگذشتهبيشازنهصدوچهلوهشتهزارايرانيبامراجعهبهواحدهايخونگيريسازمانانتقالخونايران :  سالگ ذشته بيشاز نهصدو چهل وهشت هزارايراني بامراجعه بهو احدها يخ ونگ يري سازمانا نتقال خون ايران  
خوشحالمكهبهعنوانيكزنمسلمانپرچمجمهورياسلاميايرانرادرمراسمافتتاحاينبازيهاحملميكنم :  خطا 
مقامهايرسميعراقوسازمانمللاعلامكردنددوطرفديروزدرموردبازرسيازتماممكانهاينظاميعراق :  خطا 
مديرانورهبرانكشورهاياسلاميموظفبهاستفادهخوبازامكاناتخودهستندتابهموقعيتخوددستيابند :  خطا 
سياستروسيهدرموردجمهورياسلاميايرانازثباتلازمبرخورداراستودستخوشتحولاتداخلينخواهدشد :  سياست روسيه درمورد جمهوري اسلامي ايرانا ز ثبات لامبر خوردار استود ست خوشت حولات داخلي نخواهدشد  
دوبرادركهپدرشانرابرسراختلافاتخانوادگيوخوددارياوازتامينهزينهعروسيبهقتلرساندهبودند :  خطا 
گروههفتكشورصنعتيجهانامروزهديگربيانگرواقعيتسياسيواقتصاديجهاننيستوبايدتغييرشكليابد :  خطا 
يكيخريدارانزمينوديگريواسطههايفروشكههرچهبيشتردقتكنندوازمعاملهقولنامهايووكالتيزمين :  خطا 
چندهزاركارگرلهستانيبراياعتراضبهطرحتعطيلكارخانهكشتيسازيگدانسكدرورشوراهپيماييكردند :  خطا 
گزارشخبرگزاريفرانسهازمسكوحاكيستولاديميرروبانفپسازملاقاتبالبداستعفايخودراتسليمكرد :  خطا 
ماعضوسازمانمللهستيمولياينبدانمعنانيستكهمصوبهايراكهمخالفاسلامواحكامالهياستبپذيريم :  خطا 
مديرجشنوارههنريونيكلراستودرنظرداردبهترينبرنامههايتلويزيونيسالراانتخابومعرفينمايد :  خطا 
مرحلهنخستمسابقاتفوتبالقهرمانيجوانانباشگاههايايرانبهصورتمجتمعودرهشتگروهبرگزارميشود :  مرحله نخستم سابقا تفو تبال قهرماني جوانان باشگاههاي ايران به صورتم جتمع ودره شتگ روه برگزارميشود  
سفارتاينكشوردررياضبارديگربهاتباعاينكشورهشداردادبهاتخاذتدابيرامنيتيبيشترياقدامكنند :  خطا 
استفادهناصحيحازكالاهاومحصولاتتوليديدرهرجامعهايازعواملاصليهدررويمنابعمليمحسوبميشود :  خطا 
علاقهمندانبهشركتدراينمسابقهميتوانندمقالاتخودرابهكتابخانهابنسيناواقعدرخيابانپيروزي :  خطا 
اينگروهازسفيرجمهورياسلاميايراندرقزاقستانخواستندتاسلامهايگرمايشانرابهمقاممعظمرهبري :  اينگر وها زس فير جمهوري اسلامي ايراند رق زا قست انخ واست ند تاس لامه ايگر مايشا نراب هم قام معظم رهبري  
درسالهاياخيربيشترسازمانهاوموسساتدولتيامورخدماتيراضمنمناقصهبهپيمانكارانواگذارميكنند :  خطا 
بوريسيلتسيندردوردومانتخاباترياستجمهوريروسيهازگناديزوگانفرقيبكمونيستخودجلوافتادهاست :  خطا 
صفرويكبرصفرخودرابهديدارهاينهايينزديككردندوديدارتيمهاينيرووسعيدبهتساويبدونگلانجاميد :  خطا 
ساختبناومجموعهايشايستهدرمكانمقدسشهادتهفتادودوتندرمحلحزبجمهورياسلاميضرورتيتاريخياست :  خطا 
محمودواعظيمعاونوزيرامورخارجهجمهورياسلاميايرانباهمتايايتالياييخوددررمديداروگفتوگوكرد :  خطا 
امروزهافتخارتشيعايناستكهسردارسازندگيجمهورياسلاميايرانيكروحانيمجتهدمجاهدوزجركشيدهاست :  خطا 
سفيرفيليپيندراينديدارباابرازرضايتازروندروبهتوسعههمكاريهايدوستانهبينايرانوفيليپينگفت :  خطا 
تركيهرابهدرگيريباكشورهايعربميكشاندهفتهنامهاقتصاديميدلايستاكونوميكسورويديروزگزارشداد :  خطا 
چهاركارشناسازمليتهايگوناگونبررويهرگونهقراردادنفتيبغدادباشركتهايخارجينظارتخواهندداشت :  خطا 
متصديانورزشگاهباصدورقبوضورزشيباشگاهبرايمجوزخودرومحلباشگاهراتبديلبهپاركينگعموميكردند :  خطا 
بهگزارشروابطعموميسازمانهواپيماييكشوريبراساساينتوافقپروازهايايرانبهكويتازشهرهايتهران :  خطا 
داوراينديداركهقضاوتيكطرفهويبهسودازبكهابارهاازسويمقاماتفوتبالتاجيكستانبااعتراضروبروشد :  خطا 
تلويزيونرژيمصهيونيستيبهنقلازمنابعدولتياعلامكردنتانياهودرنظرداردامروزدرديدارباكلينتون :  خطا 
گزارشلحظهبهلحظهازمراحلنهمينپيوندقلبدربيمارستاندكترشريعتيصدايزنگتلفنهايكلحظهقطعنميشود :  خطا 
گزارشپژوهشيدرزمينهتعدادوعللوانگيزهمهاجرتپزشكانبهامريكاچندپزشكايرانيدرامريكابسرميبرند :  خطا 
كارلپوبورسكيراميتوانهمبعنوانپديدهجاموهمبهترينبازيكنجامدهمبرگزيدبابودنبازيكنانيچونشيرر :  خطا 
ميردامادودسترسيخودروهايمسيرغرببهشرقميردامادبهبزرگراهمدرسومركزشهربدونمانعترافيكيميسرشد :  خطا 
منوچهرمهربانسالگذشتهزهراحقيقييكتاعروسومصطفيحقيقييكتاپدرعروسشرادرپياختلافاتخانوادگيكشت :  خطا 
كميتهدوچرخههايكوهستاناينفدراسيونبمنظورپركردناوقاتفراغتنوجوانانوجوانانوعلاقمنداناينورزش :  خطا 
درحملهچريكهاياستقلالطلبببرهايتاميلبهيكواحدگشتيارتشسريلانكادرترينكوماليدرشمالشرقاينكشور :  خطا 
همسركهويندرجرياناينحملهقوايباصرهوسامعهونيزحافظهخودراازدستدادهاستونميتواندچيزيراتميزدهد :  خطا 
بهگزارشخبرگزاريفرانسهسعيدكاملمعاوندبيركلاتحاديهعربدرامورفلسطينيهاكهسرگرمديدارازسوريهاست :  خطا 
وزيرامورخارجهسوريهاعلامكردكهوزيرانخارجهجمهورياسلاميايرانوبحرينبهزوديبايكديگرديدارميكنند :  خطا 
قسمتدومتزخدمتداوطلبانهبهكاركردكلسيستمرسانههايجمعيغربيبرميگرددكهاطلاعاتراازصافيميگذرانند :  خطا 
كاخسفيداعلامكردكهتصميمداردصدوركليهانواعسلاحومهماتوتجهيزاتوخدماتنظاميرابهاينكشورتحريمكند :  خطا 
فدراسيونكوهنورديدرنظرداردبهمناسبتميلادپيامبرگراميوهفتهدولتبرنامهصعودبهقلهسبلانرااجراكند :  خطا 
وزيركشوردرچهارمينجلسهكميسيونسياستگذاريدراموراجراييمبارزهبامفاسداجتماعيبابياناينمطلبافزود :  خطا 
علاقهمندانبرايثبتنامميتوانندبهاينادارهكلواقعدرخيابانطالقانينرسيدهبهميدانفلسطينمراجعهكنند :  خطا 
اوهنگاميكهازدفترروزنامهبهخانهميرفتپشتيكچراغقرمزخيابانتوسطيكتركنشينموتوسيكلتبهگلولهبستهشد :  خطا 
ژنرالعامرمحمدرشيدوزيرنفتعراقديروزگفتدولتمتبوعشاميدواراستباامضايقراردادهاييباشركتهايخارجي :  خطا 
درپايانرقابتهايمقدماتيواليبالجوانانكشوركهدرسهمنطقهبرگزارشدهبودششتيمبهمرحلهنهاييصعودكردند :  خطا 
بهگزارشروابطعموميوزارتصنايعبادستيابيبهدانشفنيتوليدانواعسيمانهاينسوزتوسطكارخانهسيماناصفهان :  خطا 
بنيادشهيدانقلاباسلاميازامتحزباللهوبويژهخانوادههايگرانقدرشاهدبرايحضوردراينمراسمدعوتكردهاست :  خطا 
ويگفتباوجودتلاشهاوموفقيتهايبهداشتيسالهاياخيرهنوزتعداديازمدارسفاقدسرويسهايبهداشتيلازمهستند :  ويگ فت باوجودتلاش هاو موفقيتهاي بهداشتي سالهاي اخيرهنوز تعدادي ازمدارس فاقد سرويسهاي لازمه ستند  
پليسشهرماچيدادرجنوباستانتوكيوچندقاچاقچيازجملههفتايرانيرابهاتهامخريدوفروشموادمخدردستگيركرد :  خطا 
دوازدهمردخشمگينچهلسالپيشقواعدنمايشنامههايدادگاهيرادرهمشكستوبراياولينباربهجايتمركزرويمدافع :  خطا 
اصولومقرراتايمنيساختمانهادربرابرزلزلهبايدرعايتشودوساختمانهايقديميازنظرمقاومتمستحكمگرددزمين :  خطا 
اينبرنامهباحضوركارشناسانوصاحبنظرانموسيقيايرانبهتحليلوشناختموسيقيايرانازگذشتهتاكنونميپردازد :  خطا 
مذاكراتمشروحبادولتجديدتركيهتنهازمانيامكانپذيرخواهدشدكهايندولتازراياعتمادپارلمانبرخوردارشود :  خطا 
بهعلتعملياتحفاريدرخيابانشهيدقربانيحدفاصلميدانابوذرتاميدانجليليومسدودشدنشمالبهجنوباينخيابان :  به علت عمليات حفاري درخيابان شهيد قرباني حدفاصل ميدان ابوذر تاج ليليوم سدو دشدن شمالجنوب اين خيابان  
حزباسلاميافغانستانازتلاشهايبيدريغوموثرمقامهايايرانيدرجهتكمكبهحلبحرانودرافغانستانقدردانيكرد :  خطا 
مغولستانوروسيهيكپيمانهمكاريهايدفاعيرادرارتباطباتعيينمرزمشتركشمالغربيبينسهكشوربهامضارساندند :  خطا 
نمازجمعهاينهفتهتهرانهمچونگذشتهدرسراسرميهناسلاميوباحضورنمازگزارانموحدوخداجويكشورمانبرگزارشد :  خطا 
مجتمعمخابراتيانقلاباسلاميمهمترينطرحاجراشدهشركتمخابراتايراندربرنامهاولتوسعهامروزگشايشمييابد :  خطا 
قراردادنسنگرويريلقطارهايسريعالسيربرقيمخصوصادرحومهشهرتوكيواستكلاغهابااينعملتاكنونسهحادثهكوچك :  خطا 
كميتهمليالمپيكجمهورياسلاميايرانازورزشكارانيكهدردورههايگذشتهبازيهايالمپيكموفقبهكسبمدالشدهاند :  خطا 
مناطلاعدقيقدارمكههاروياسوالدقاتلكندينبودواسوالدبرحسباتفاقدرمحلواقعهقرارگرفتهبودوگناهينداشتو :  خطا 
دوچرخهسوارييكيازسرگرميهاوبازيهايموردعلاقهكودكاناستوهيچبچهايراشايدنتوانيافتكهعاشقدوچرخهنباشد :  خطا 
خانهفرهنگحافظيهبهمنظورگراميداشتولادتباسعادتپيامبراكرموفرارسيدنهفتهوحدتمسابقهادبيبرگزارميكند :  خطا 
بااجراواستفادهاينموادقانونيبسياريازمشكلاتمردمدرزمينهحلاختلافاتمالكيتهايقانونيومشروعحلوفصلشد :  خطا 
مانعدستگيريكارادزيچوملاديچتوسطنيروهايناتواستدادگاهبينالملليرسيدگيبهجناياتجنگيدريوگسلاويسابق :  خطا 
ويدرخصوصبمبارانبخشيازخاكميهنمانتوسطهليكوپترهايتركيهوبهشهادترسيدنومجروحشدنجمعيازهموطنانمانگفت :  خطا 
خبرگزاريرويترفرانتسورانتيزكيصدراعظماتريشوعبداللهبنعبدالعزيزوليعهدعربستانديروزدرجدهديداركردند :  خطا 
